,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,16m,319.6,0,0,0,1,0,0.40063862800598143,0.40133209228515626,,4
1,5|67,32m,878.4,0,0,0,0,0,0.6057960510253906,0.5804109573364258,,5
2,40|42,16m,198.4,0,0,0,0,0,0.529066514968872,0.2086334228515625,,5
3,40|10,16m,372.2,0,0,0,0,0,0.42760725021362306,0.3511713266372681,,5
4,10|64,32m,621.0,0,0,0,0,0,0.44121708869934084,0.41840438842773436,,5
5,34|112,16m,315.0,0,0,0,0,0,0.8060978889465332,0.6730752944946289,,5
6,11|10,16m,233.0,0,0,0,0,0,0.6313906192779541,0.2686971664428711,,5
7,11|3,16m,310.6,0,0,0,0,0,0.3111414909362793,0.27661542892456054,,5
8,66|67,32m,769.0,0,0,0,0,0,0.6964178562164307,0.5278728485107422,,5
9,5|41,16m,354.4,0,0,0,0,0,0.41839041709899905,0.5561985969543457,,5
10,66|46,32m,618.0,0,0,0,0,0,0.5359816551208496,0.39914536476135254,,5
11,97|95,16m,384.2,0,0,0,0,0,0.4890486240386963,0.48310322761535646,,5
12,119|37,50m,460.4,0,0,0,0,0,0.5878983020782471,0.2727943420410156,,5
13,119|103,50m,476.4,0,0,0,0,5,0.4041635990142822,0.35310072898864747,,0
14,21|48,32m,960.0,0,0,0,1,0,0.6031710147857666,0.3759000778198242,,4
15,22|105,50m,440.0,0,0,0,1,0,0.4796440601348877,0.48666996955871583,,4
16,21|64,32m,740.6,0,0,0,1,0,0.6691061019897461,0.36623785495758054,,4
17,22|26,50m,724.4,0,0,0,0,0,0.6801033973693847,0.44176697731018066,,5
18,4|64,32m,715.0,0,0,0,0,0,0.6527152538299561,0.3773446798324585,,5
19,22|76,50m,1014.4,0,0,0,0,0,0.7633509635925293,0.4501687526702881,,5
20,10|9,32m,829.2,0,0,0,0,0,0.8013736724853515,0.41744747161865237,,5
21,16|103,50m,130.8,0,0,0,0,5,0.6121035099029541,0.261804986000061,,0
22,16|111,50m,386.4,0,0,0,2,0,0.40921769142150877,0.40652713775634763,,3
23,96|26,50m,439.4,0,0,0,0,0,0.45171594619750977,0.35987606048583987,,5
24,35|9,32m,1319.2,0,0,0,0,0,0.3987009525299072,0.27839844226837157,,5
25,96|76,50m,727.6,0,0,0,0,0,0.6514883518218995,0.3963268280029297,,5
26,58|111,50m,331.0,0,0,0,0,0,0.6109893321990967,0.40038695335388186,,5
27,31|120,16m,378.8,0,0,0,4,0,0.7583477973937989,0.35326874256134033,,1
28,35|48,32m,1438.8,0,0,0,2,0,0.3788856267929077,0.2814441204071045,,3
29,31|112,16m,510.4,0,0,0,0,1,1.0530999183654786,0.46694216728210447,,4
30,21|9,32m,506.4,0,0,0,0,0,0.5488491058349609,0.4883711814880371,,5
31,117|112,16m,383.4,0,0,0,0,1,0.858929443359375,0.5591788768768311,,4
32,29|36,32m,308.2,0,0,0,0,0,0.6454575538635254,0.1774330496788025,,5
33,117|41,16m,352.6,0,0,0,0,5,0.9835069656372071,0.3148283720016479,,0
34,34|41,16m,238.6,0,0,0,0,5,0.7277596950531006,0.36368861198425295,,0
35,29|55,32m,501.4,0,0,0,0,0,0.5345365047454834,0.3127819299697876,,5
36,34|43,16m,265.4,0,0,0,0,5,0.8665353775024414,0.3621202945709229,,0
37,5|43,16m,372.4,0,0,0,0,0,0.8342212677001953,0.4998181343078613,,5
38,5|120,16m,502.8,0,0,0,1,0,0.9464519500732422,0.4460146903991699,,4
39,73|74,50m,123.4,0,0,0,0,5,0.6343186378479004,0.3188662052154541,,0
40,73|37,50m,122.2,0,0,0,0,5,0.6242456912994385,0.30365662574768065,,0
41,15|94,50m,752.4,0,0,0,0,0,0.4812455177307129,0.5626081466674805,,5
42,15|105,50m,813.2,0,0,0,0,0,0.6873149871826172,0.5782760620117188,,5
43,15|26,50m,996.6,0,0,0,0,0,0.8095171928405762,0.5265919685363769,,5
44,55|94,50m,930.6,0,0,0,0,0,0.6256299018859863,0.4301299571990967,,5
45,55|105,50m,976.2,0,0,0,0,0,0.8335424423217773,0.48737359046936035,,5
46,96|94,50m,1052.8,0,0,0,0,0,0.6792378425598145,0.41832561492919923,,5
47,58|74,50m,609.4,0,0,0,0,0,0.4658214569091797,0.5199287414550782,,5
48,55|76,50m,599.2,0,0,0,0,0,0.5449882030487061,0.39323675632476807,,5
49,31|43,16m,310.4,0,0,0,0,0,0.4713606357574463,0.46349596977233887,,5
50,61|95,16m,313.8,0,0,0,0,0,0.7306482315063476,0.37529473304748534,,5
51,61|42,16m,268.8,0,0,0,2,0,0.5217486381530761,0.4788373470306396,,3
