169760e0 testing,,,,,,,,,,,,,,,,,,98vf3e6e Testing,,,,,,,,,,,,
,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,,,,,,,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
19,61|12,40m,275.2,0,0,0,0,0,0.595666694641113,0.544027137756348,,5,,,0.183038806915283,0.112633991241455,,19,61|12,40m,259.8,0,0,0,0,0,0.41262788772583,0.431393146514893,,5
17,34|60,40m,558.6,0,0,0,0,0,0.576721668243408,0.356131458282471,,5,,,0.039455604553222,0.03837251663208,,17,34|60,40m,417.2,0,0,0,0,0,0.537266063690186,0.317758941650391,,5
18,34|6,40m,790.4,0,0,0,0,0,0.712711620330811,0.283787608146667,,5,,,0.1088698387146,0.085190165042878,,18,34|6,40m,557.4,0,0,0,0,0,0.603841781616211,0.19859744310379,,5
11,34|33,20m,171.2,0,0,0,0,5,0.728332614898682,0.753290367126465,,0,,,,,,11,34|33,20m,142.8,0,0,0,0,5,0.552690076828003,0.568884754180908,,0
12,34|25,20m,625.2,0,0,0,0,0,0.919752597808838,0.418359088897705,,5,,,0.131887340545654,-0.024920701980591,,12,34|25,20m,299.8,0,1,0,0,2,0.787865257263184,0.443279790878296,,2
16,34|23,40m,319.8,0,0,0,0,0,0.325941467285156,0.459115934371948,,5,,,0.02250485420227,0.054458379745483,,16,34|23,40m,257.8,0,0,0,0,0,0.303436613082886,0.404657554626465,,5
15,26|30,20m,667.4,0,0,0,1,0,0.782616329193115,0.363916015625,,4,,,0.181171131134033,0.034798789024353,,15,26|30,20m,367.8,0,0,0,2,2,0.601445198059082,0.329117226600647,,1
14,26|25,20m,515.6,0,0,0,0,0,0.687907218933106,0.381970405578613,,5,,,0.261288118362426,0.027345323562622,,14,26|25,20m,331,0,0,0,0,1,0.426619100570679,0.354625082015991,,4
13,26|12,20m,449.6,0,0,0,0,0,0.373131561279297,0.414525079727173,,5,,,0.09229576587677,0.09120454788208,,13,26|12,20m,334.6,0,0,0,0,0,0.280835795402527,0.323320531845093,,5
22,19|60,40m,1200.6,0,0,0,0,0,0.558739423751831,0.343164825439453,,5,,,0.055614614486694,0.101547574996948,,22,19|60,40m,884.4,0,0,0,0,0,0.503124809265137,0.241617250442505,,5
20,19|6,40m,732.8,0,0,0,0,0,0.23838951587677,0.355669593811035,,5,,,0.070761859416962,0.153943586349487,,20,19|6,40m,520.2,0,0,0,0,0,0.167627656459808,0.201726007461548,,5
21,19|23,40m,960.2,0,0,0,0,0,0.450983285903931,0.367516422271728,,5,,,0.056047677993775,0.094897508621216,,21,19|23,40m,717.2,0,0,0,0,0,0.394935607910156,0.272618913650513,,5
1,17|32,20m,444.4,0,0,0,0,0,0.560154056549072,0.492039442062378,,5,,,0.150399732589721,0.087856149673462,,1,17|32,20m,354.8,0,0,0,0,0,0.409754323959351,0.404183292388916,,5
0,17|29,20m,229.6,0,0,0,0,5,0.602647113800049,0.415617990493774,,0,,,,,,0,17|29,20m,209.4,0,0,0,0,0,0.537487936019897,0.306985950469971,,5
3,13|33,20m,610.4,0,0,0,0,0,0.881178665161133,0.358828973770142,,5,,,0.298208332061768,-0.044441270828247,,3,13|33,20m,371.4,0,0,0,0,1,0.582970333099365,0.403270244598389,,4
2,13|25,20m,399.6,0,0,0,0,0,0.472108364105225,0.432939529418945,,5,,,0.127147150039673,0.030736303329467,,2,13|25,20m,290,0,0,0,0,0,0.344961214065552,0.402203226089478,,5
4,11|32,20m,174.4,0,0,0,0,5,0.64295506477356,0.573166704177856,,0,,,,,,4,11|32,20m,152.4,0,0,0,0,5,0.489237642288208,0.380160808563232,,0
5,11|19,20m,169.8,0,0,0,0,5,0.583313703536987,0.550050592422485,,0,,,,,,5,11|19,20m,152.8,0,0,0,0,5,0.463363599777222,0.407360553741455,,0
7,1|33,20m,542.2,0,0,0,0,0,0.647118949890137,0.348646521568298,,5,,,0.198085355758667,0.034414792060852,,7,1|33,20m,345,0,1,0,0,0,0.44903359413147,0.314231729507446,,4
6,1|30,20m,484.6,0,0,0,1,0,0.358068466186523,0.360429215431213,,4,,,0.064896297454835,0.094909739494323,,6,1|30,20m,316,0,0,0,3,0,0.293172168731689,0.26551947593689,,2
8,1|12,20m,729.4,0,0,0,0,0,0.749795961380005,0.358806371688843,,5,,,0.211152601242066,0.019381427764893,,8,1|12,20m,479.8,0,0,0,0,0,0.538643360137939,0.33942494392395,,5
10,0|6,20m,387.6,0,0,0,0,1,0.559984731674194,0.546745538711548,,4,,,0.197718095779419,0.270613598823548,,10,0|6,20m,184.6,0,0,0,0,4,0.362266635894775,0.276131939888,,1
9,0|19,20m,237.2,0,0,0,0,5,0.621500492095947,0.456985521316528,,0,,,,,,9,0|19,20m,207.4,0,0,0,0,5,0.471742582321167,0.248977279663086,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,avg,0.136141287618213,0.070163467857573,,,,,,,,,,,,,,
,,,,,,,,,,,,,,min,0.02250485420227,-0.044441270828247,,,,,,,,,,,,,,
,,,,,,,,,,,,,,max,0.298208332061768,0.270613598823548,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50,0.129517245292663,0.06982427239418,,,,,,,,,,,,,,
,,,,,,,,,,,,,,75,0.194048273563385,0.094906681776046,,,,,,,,,,,,,,
